CO_GRUPO;NOME_CURSO;CO_CURSO
3201;Filosofia (Bacharelado);12321, 12834, 27858, 40700, 41849, 45024, 52196, 66597, 66637, 67545, 68172, 69002, 73719, 79645, 86920, 88504, 88963, 98144, 102308, 110414, 121366, 121602, 300595, 300950, 301321, 301453, 301513, 301881, 302197, 303168, 304194, 307505, 310495, 310863, 311229, 311301, 311994, 312578, 312962, 313097, 313303, 313409, 313577, 314110, 314228, 314346, 317270, 318975, 320530, 337274, 350042, 358380, 399189, 399346, 401276, 408644, 1101762, 1103021, 1103709, 1105840, 1158382, 1190140, 1202870, 1287595, 1332250, 1343523, 1352402, 1353030, 1366250, 1366291, 1395631, 1397174, 1397180, 1397977, 1405575, 1427500, 1427697, 5001248
3202;Filosofia (Licenciatura);326, 380, 496, 595, 779, 849, 950, 1223, 1321, 1453, 1513, 1643, 1738, 1881, 2108, 2197, 3168, 4194, 4727, 4866, 5483, 5954, 7505, 7828, 8912, 10809, 10863, 11301, 11431, 11994, 12962, 13097, 13209, 13303, 13409, 13577, 13839, 14110, 14228, 14346, 14985, 17270, 17346, 17596, 17924, 18975, 20530, 21625, 37274, 41848, 44362, 45025, 45735, 48044, 49472, 49701, 49756, 50042, 51283, 51537, 53692, 54780, 58380, 64518, 73522, 82605, 84701, 87804, 92129, 99189, 99346, 100740, 101774, 106674, 108342, 108644, 109394, 113100, 113457, 114061, 115686, 116506, 116732, 117128, 120737, 121367, 121934, 122048, 150125, 312321, 312834, 1042112, 1100877, 1101763, 1103708, 1105404, 1109941, 1111969, 1135224, 1138346, 1143414, 1143719, 1146611, 1148478, 1152589, 1159779, 1160309, 1165863, 1179334, 1259014, 1259107, 1266738, 1268556, 1268558, 1285863, 1292739, 1306306, 1313175, 1314985, 1321266, 1321322, 1322730, 1326802, 1343533, 1365247, 1382608, 1382643, 1385367, 1404094, 1404147, 1425237, 1425301, 1454631, 1455354, 1483404, 5000396, 5000397
3501;Educação Física (Bacharelado);6181, 11542, 12327, 17663, 20291, 20307, 21231, 39077, 44174, 44892, 45762, 54418, 57944, 59662, 59750, 59782, 61072, 61592, 62970, 63076, 64455, 64898, 65892, 66103, 66131, 66566, 67259, 67643, 68119, 68524, 69430, 71146, 71477, 72142, 72379, 73500, 74484, 74922, 75604, 75837, 76380, 76853, 80101, 80330, 80360, 80810, 81382, 83938, 86205, 88074, 88509, 88652, 88664, 89146, 89474, 89476, 90363, 91309, 91897, 91899, 92151, 92157, 92184, 92601, 92734, 94115, 94157, 94917, 95151, 95631, 96434, 96693, 97099, 97647, 98124, 98126, 98359, 98393, 99423, 100055, 100256, 101506, 101582, 101586, 101602, 101673, 102075, 102077, 102194, 102304, 102550, 102574, 102665, 102754, 102820, 102834, 103346, 103950, 104158, 104364, 104366, 105068, 105174, 105522, 106536, 107246, 107338, 107619, 107631, 108676, 108723, 109456, 109692, 109923, 110004, 110315, 111376, 111786, 111884, 112220, 112496, 112850, 113204, 113268, 113274, 114417, 114444, 115340, 115438, 115702, 116370, 116904, 116946, 116986, 117010, 117050, 117308, 117334, 117750, 117808, 117881, 117968, 118380, 118432, 118712, 118822, 118998, 119000, 119004, 119016, 119298, 119810, 119844, 120026, 120771, 121350, 121886, 122288, 122592, 122596, 122951, 123128, 123268, 123273, 150036, 150056, 150058, 150063, 150067, 150186, 150300, 150301, 150302, 300635, 300687, 301438, 301641, 302525, 303410, 303662, 305223, 305497, 305838, 306584, 307202, 307946, 308665, 309956, 310162, 310981, 310988, 311300, 311717, 312562, 312952, 313092, 315605, 318429, 318468, 318511, 319204, 319219, 319984, 320087, 320165, 320325, 320348, 320424, 320545, 320717, 320834, 321096, 321566, 321646, 321714, 321976, 338958, 342502, 344656, 344658, 344965, 346023, 346911, 347565, 348488, 350145, 350265, 350447, 352543, 355103, 356706, 358455, 359003, 359371, 359760, 360729, 366629, 373442, 375150, 383139, 384852, 385424, 390367, 390517, 396659, 398622, 399212, 401194, 405178, 405872, 405984, 407852, 415436, 416944, 417432, 420416, 1036842, 1042084, 1047529, 1055019, 1075492, 1076168, 1078192, 1081931, 1083188, 1101166, 1102591, 1103785, 1104026, 1104893, 1106222, 1106642, 1106930, 1108935, 1109594, 1111526, 1111996, 1111997, 1112685, 1112869, 1113009, 1113011, 1113106, 1113972, 1118111, 1118130, 1118256, 1120717, 1120772, 1121383, 1121953, 1122942, 1123281, 1128003, 1129362, 1132315, 1132698, 1135106, 1135235, 1140282, 1142086, 1146575, 1146686, 1150273, 1153897, 1154745, 1156532, 1156760, 1158559, 1161188, 1161630, 1161911, 1163319, 1163799, 1164982, 1165113, 1167086, 1168551, 1168779, 1171586, 1172159, 1173107, 1174854, 1177725, 1178022, 1181231, 1181233, 1181235, 1181238, 1181318, 1181354, 1181598, 1181793, 1185526, 1185746, 1187487, 1189179, 1189180, 1189370, 1190775, 1190849, 1191343, 1191555, 1192197, 1192307, 1192396, 1192413, 1192472, 1193270, 1200083, 1202767, 1203176, 1203253, 1203283, 1203376, 1204014, 1204182, 1204187, 1204348, 1204435, 1204445, 1204502, 1204666, 1204986, 1205022, 1205390, 1205470, 1205554, 1207535, 1212124, 1212462, 1213944, 1214165, 1215159, 1257438, 1257586, 1257745, 1257749, 1258043, 1258308, 1258661, 1258720, 1258749, 1258831, 1258832, 1258881, 1259015, 1259032, 1259753, 1260291, 1260356, 1260454, 1260481, 1260836, 1260876, 1260940, 1261766, 1262589, 1263593, 1264777, 1268388, 1270439, 1279797, 1279829, 1279840, 1283120, 1283832, 1284143, 1284725, 1284887, 1284970, 1284975, 1285134, 1285215, 1285243, 1285247, 1292436, 1292614, 1292863, 1293428, 1299577, 1299619, 1300204, 1300287, 1300507, 1303904, 1304116, 1304121, 1304991, 1305044, 1313311, 1313828, 1314438, 1321602, 1321978, 1322119, 1322182, 1322346, 1322401, 1322423, 1322433, 1322441, 1322631, 1322677, 1322688, 1323194, 1323544, 1323591, 1323602, 1323647, 1323695, 1323783, 1325875, 1326482, 1327337, 1327342, 1328760, 1330263, 1330375, 1330668, 1330671, 1330672, 1330676, 1330677, 1330682, 1330683, 1330697, 1330706, 1330747, 1330759, 1330782, 1330792, 1330815, 1330975, 1331434, 1331636, 1331742, 1331810, 1331871, 1332108, 1332126, 1332210, 1332213, 1332347, 1332427, 1332472, 1332485, 1332762, 1349368, 1349466, 1349491, 1349779, 1350001, 1350159, 1350324, 1350325, 1350437, 1350832, 1353036, 1353287, 1353410, 1353996, 1360115, 1363702, 1363704, 1363812, 1364026, 1364139, 1364156, 1364159, 1364175, 1364203, 1364225, 1364322, 1364336, 1364973, 1365064, 1365559, 1365613, 1365713, 1366242, 1366347, 1374069, 1376137, 1376259, 1376348, 1377496, 1379816, 1380904, 1381930, 1382615, 1382801, 1383102, 1384586, 1385571, 1386594, 1386595, 1388928, 1396133, 1396448, 1398023, 1398155, 1399345, 1403876, 1403882, 1404203, 1404603, 1404862, 1406157, 1407568, 1409144, 1410338, 1419724, 1419731, 1419796, 1419813, 1419907, 1420312, 1420353, 1420358, 1421316, 1425215, 1427469, 1427557, 1427715, 1427759, 1438252, 1438376, 1438387, 1442973, 1443526, 1446218, 1453490, 1453566, 1454212, 1457140, 1457164, 1458102, 1466043, 1466591, 1467998, 1481975, 1483400, 1486096, 1486987, 1488011, 1517570, 1520133, 1523184, 1576679, 5000011, 5000012, 5000026, 5000150, 5000272, 5000300, 5000322, 5000412, 5000413, 5000415, 5000417, 5000418, 5000419, 5000421, 5000427, 5000430, 5000434, 5000436, 5000438, 5000439, 5000441, 5000444, 5000462, 5000569, 5000731, 5001000
3502;Educação Física (Licenciatura);19, 142, 396, 487, 635, 687, 754, 855, 1253, 1438, 1641, 1724, 2086, 2525, 2647, 3201, 3207, 3410, 3492, 3563, 3662, 3808, 4088, 4217, 4372, 4595, 5223, 5497, 5609, 5838, 6399, 6584, 6747, 6805, 6859, 6980, 6993, 7202, 7873, 7946, 8426, 8483, 9225, 9892, 9987, 10162, 10218, 10440, 10504, 10981, 10988, 11109, 11300, 11435, 11594, 11717, 12562, 12826, 12915, 12952, 13092, 13198, 13318, 13423, 13598, 13721, 13877, 14000, 14123, 14125, 14132, 14224, 15247, 15271, 15276, 15334, 15605, 15836, 15990, 16158, 16396, 16680, 17103, 18088, 18233, 18271, 18312, 18429, 18468, 18506, 18511, 18603, 18684, 18978, 19204, 19219, 19264, 19357, 19541, 19583, 19939, 19984, 20002, 20087, 20165, 20325, 20348, 20424, 20457, 20545, 20647, 20699, 20717, 20957, 20990, 20991, 20992, 20993, 21096, 21576, 21646, 21657, 21714, 21777, 21781, 21849, 21976, 22031, 24225, 38260, 38283, 38939, 38958, 39076, 39514, 42148, 42502, 43020, 43086, 43575, 44270, 44656, 44658, 44893, 45763, 46023, 46299, 46911, 47331, 47454, 47541, 47565, 48488, 48505, 49413, 49586, 49793, 49877, 50143, 50145, 50265, 51322, 51797, 51995, 52151, 52763, 54420, 55103, 56008, 56706, 57102, 58128, 58180, 58455, 59003, 59632, 59989, 59991, 60012, 60022, 60470, 60584, 60729, 62584, 63455, 63888, 64106, 64566, 64900, 65062, 65437, 66011, 66129, 66335, 66513, 66629, 67603, 68419, 68526, 69095, 70532, 70624, 70740, 71115, 71405, 71816, 72377, 72445, 72594, 72638, 72863, 73084, 73168, 73204, 73210, 73248, 73368, 73382, 73398, 73414, 73432, 73442, 73917, 74082, 74157, 74215, 74268, 74649, 75150, 75332, 75334, 75338, 75603, 76313, 76373, 76379, 76494, 76507, 76545, 76561, 79586, 79918, 79981, 80099, 80232, 80257, 80737, 81220, 81256, 82366, 83139, 83896, 83920, 83964, 84679, 84785, 84852, 85402, 85424, 86547, 87487, 87956, 88508, 88656, 88906, 88980, 89212, 89472, 89813, 90367, 90517, 90623, 90701, 90955, 91131, 91497, 91649, 91833, 91943, 92225, 92592, 92602, 93069, 94483, 95115, 95131, 96415, 96659, 96671, 97223, 97247, 98033, 98130, 98162, 98313, 98548, 98612, 98622, 99397, 99501, 99588, 99617, 100010, 100118, 100156, 100212, 100406, 100902, 101302, 101554, 101566, 101580, 101594, 101598, 101600, 101632, 101649, 101657, 101666, 101671, 101940, 101990, 102306, 102642, 103180, 103569, 104512, 104514, 104598, 105158, 105178, 105872, 106052, 107637, 107662, 107852, 109227, 109244, 109246, 109264, 111542, 111784, 111908, 112102, 112160, 112600, 112929, 113218, 115466, 115704, 115882, 116022, 116196, 116944, 117290, 117336, 117472, 117573, 117805, 118762, 118782, 118786, 120185, 120416, 120761, 121192, 121288, 121393, 121419, 122002, 122906, 123124, 123271, 123768, 123793, 150126, 150259, 150303, 312327, 1043745, 1052090, 1056358, 1057798, 1074296, 1081911, 1086316, 1086322, 1087352, 1087513, 1101114, 1101658, 1102627, 1102959, 1103856, 1104698, 1105208, 1106261, 1107084, 1107277, 1107745, 1108861, 1110583, 1112994, 1114569, 1116634, 1118283, 1126886, 1128498, 1128666, 1134079, 1135060, 1146775, 1148094, 1152585, 1153690, 1154947, 1155122, 1157263, 1158330, 1160165, 1161926, 1163839, 1168223, 1168569, 1170446, 1178533, 1179010, 1182977, 1183279, 1184190, 1185995, 1188396, 1188524, 1189391, 1190178, 1191427, 1192199, 1193750, 1193765, 1202407, 1203657, 1204036, 1204891, 1204917, 1206012, 1257920, 1257969, 1258319, 1259728, 1259775, 1259919, 1260519, 1260711, 1260720, 1260890, 1263588, 1263717, 1268023, 1268525, 1279604, 1280059, 1280357, 1283770, 1283889, 1284132, 1284138, 1285007, 1285244, 1292297, 1292751, 1300122, 1300180, 1300197, 1300209, 1303578, 1303583, 1303731, 1304783, 1305322, 1310491, 1313158, 1313167, 1313224, 1313310, 1314382, 1316021, 1321684, 1321702, 1322435, 1323193, 1327517, 1330251, 1330301, 1330380, 1332952, 1342710, 1343631, 1343825, 1349108, 1349165, 1349493, 1349727, 1350009, 1350090, 1350102, 1352403, 1357793, 1357825, 1364323, 1365148, 1365385, 1365545, 1365547, 1366206, 1375336, 1384575, 1388113, 1389351, 1396134, 1397028, 1398176, 1404041, 1404376, 1404408, 1410339, 1419681, 1420096, 1425187, 1425260, 1427415, 1427716, 1428316, 1439513, 1442128, 1445201, 1445378, 1445621, 1446680, 1457028, 1457113, 1465685, 1466433, 1481976, 1486099, 1486129, 1491609, 5000025, 5000031, 5000044, 5000139, 5000185, 5000242, 5000274, 5000316, 5000323, 5000350, 5000546, 5000570, 5000802, 5000934
4004;Ciência Da Computação (Bacharelado);36, 127, 317, 513, 594, 614, 703, 778, 865, 968, 1110, 1452, 1721, 1904, 2090, 2209, 2310, 2717, 3190, 3197, 3211, 3419, 3531, 3676, 3858, 3859, 3935, 4547, 4675, 5079, 5485, 5841, 6491, 6756, 7142, 7292, 7511, 8340, 9302, 9311, 10059, 10159, 10814, 11238, 11452, 11730, 12025, 12313, 12581, 12710, 12837, 12946, 13216, 13277, 13401, 13446, 13595, 13717, 13881, 13980, 14098, 14137, 14217, 14681, 15002, 15103, 15555, 15869, 17898, 17937, 18001, 18039, 18149, 18162, 18250, 18251, 18267, 18280, 18335, 18518, 18558, 18559, 18584, 18585, 18624, 18683, 18698, 18790, 18818, 18826, 18833, 18840, 18974, 19010, 19042, 19047, 19242, 19437, 19505, 19510, 19517, 19521, 19525, 19548, 19558, 19641, 19799, 19910, 19931, 20009, 20030, 20041, 20239, 20355, 20415, 20615, 20812, 20818, 20833, 20891, 20933, 20966, 21103, 21271, 21690, 22061, 22065, 37862, 38834, 39407, 41238, 42236, 43044, 43257, 43487, 43645, 43664, 44265, 46377, 46884, 46972, 47603, 48205, 50296, 50572, 50582, 50970, 52048, 52665, 53788, 54520, 54792, 55096, 57606, 57702, 58808, 59122, 62484, 64020, 64061, 64076, 64162, 65361, 65878, 65890, 66272, 66911, 67092, 68321, 69764, 69815, 69825, 72331, 73519, 75457, 82799, 83388, 85146, 85783, 87384, 88084, 88772, 88988, 89064, 90875, 90887, 91195, 91262, 92001, 92080, 92988, 94227, 94455, 95489, 96442, 96951, 98305, 98665, 98764, 98918, 98957, 101318, 101710, 101712, 101942, 101984, 102186, 103441, 104836, 105678, 105953, 106824, 106996, 107920, 109276, 110528, 110974, 110976, 111980, 112680, 112846, 112893, 114286, 114918, 116868, 117500, 117504, 118468, 119321, 120920, 122330, 122536, 122616, 150086, 318882, 1070485, 1102342, 1102628, 1102636, 1102783, 1102793, 1102800, 1110857, 1113854, 1134546, 1148708, 1152636, 1155950, 1159854, 1160123, 1161839, 1164656, 1165300, 1166783, 1167817, 1167859, 1169186, 1178662, 1181115, 1187671, 1190071, 1190145, 1190311, 1190440, 1191646, 1193782, 1205617, 1206881, 1257566, 1258024, 1258063, 1260196, 1260475, 1265146, 1265453, 1267543, 1269545, 1269969, 1269970, 1270472, 1270596, 1272079, 1279016, 1279527, 1280431, 1282899, 1288002, 1299927, 1300284, 1306689, 1312023, 1313042, 1313361, 1315444, 1322390, 1322665, 1323876, 1327439, 1331611, 1332183, 1341371, 1349140, 1376131, 1376347, 1377489, 1377509, 1378747, 1385488, 1385942, 1399128, 1403868, 1403879, 1404126, 1420185, 1420608, 1422296, 1427562, 1443998, 1457680, 1468729, 1473094, 1507450, 1533190, 1563271, 5000143, 5000154, 5000356, 5000385, 5000951
4005;Ciência Da Computação (Licenciatura);18032, 20109, 43917, 56196, 59659, 62880, 68065, 80916, 82615, 82654, 84705, 90677, 98984, 111198, 113671, 114053, 121464, 121564, 123224, 123336, 123502, 150102, 1102529, 1103664, 1103908, 1111794, 1117715, 1125808, 1125917, 1127560, 1127865, 1132188, 1142650, 1145037, 1150894, 1150932, 1166493, 1168390, 1181262, 1184491, 1186519, 1189581, 1193893, 1203266, 1259134, 1270221, 1270226, 1270681, 1279275, 1280435, 1305552, 1307356, 1313285, 1318223, 1332960, 1341251, 1343863, 1379294, 1382579, 1385714, 1399169, 1404959, 1487056, 5001162
4006;Sistemas de Informação;1261, 3193, 4963, 5238, 6847, 7301, 7523, 7839, 8913, 9414, 9425, 9440, 10515, 11554, 15127, 15262, 17077, 17886, 18285, 18384, 18387, 18671, 18686, 18903, 18930, 18933, 18957, 19360, 19508, 19595, 19881, 19990, 20065, 20130, 20178, 20361, 20466, 20469, 20477, 20512, 20588, 20709, 20756, 20985, 21017, 21018, 21295, 21353, 21446, 21464, 21600, 21727, 21979, 22012, 22017, 22035, 22047, 22070, 22110, 37303, 37788, 40343, 41242, 41266, 41710, 43485, 44016, 44650, 45096, 45850, 46017, 46112, 46892, 47051, 47069, 47113, 47478, 47505, 47535, 47630, 47834, 47874, 47941, 48169, 48393, 48437, 48675, 48677, 48679, 48950, 48993, 49054, 49071, 49343, 49485, 49613, 50082, 50229, 50250, 50298, 50364, 50752, 50754, 50758, 50760, 50981, 51020, 51022, 51050, 51139, 51180, 51233, 51279, 51307, 51527, 51603, 51888, 52210, 52809, 53331, 53333, 53342, 53520, 53535, 53592, 53898, 54172, 54538, 54934, 54961, 55402, 55777, 56172, 56726, 56757, 56766, 57174, 57178, 57279, 57458, 57466, 57504, 57612, 57820, 57900, 57906, 57984, 58006, 58498, 58928, 59001, 59060, 59109, 59523, 60406, 60428, 60430, 60462, 60464, 60560, 60644, 60708, 60743, 60886, 62382, 62538, 63556, 63732, 63768, 63770, 64276, 64278, 64288, 64664, 64754, 64776, 64877, 64972, 65409, 65440, 65614, 65863, 66234, 67299, 67601, 67785, 67934, 68375, 68597, 68930, 69853, 70520, 71255, 71305, 71407, 71851, 72623, 73062, 73140, 73898, 74586, 74737, 75266, 79349, 79355, 79930, 80073, 80779, 81210, 82364, 82748, 83294, 83710, 83894, 84425, 84653, 85640, 86318, 86326, 86972, 87195, 87396, 88068, 88180, 88258, 88380, 89012, 90030, 90428, 91017, 91067, 91181, 91431, 94762, 95017, 95175, 95506, 95706, 96855, 97089, 97443, 97637, 97778, 98013, 98595, 99406, 99820, 100654, 100684, 100816, 101558, 101700, 101830, 102590, 103062, 103806, 104360, 104498, 105728, 106134, 106167, 107360, 107422, 108016, 108660, 109476, 110428, 110926, 111278, 111476, 112086, 113124, 113293, 113455, 113687, 113813, 113937, 114616, 115374, 115582, 115728, 116066, 116432, 116770, 116870, 117022, 117532, 118002, 118336, 118420, 118994, 120018, 120385, 120430, 120932, 121189, 121636, 121794, 122845, 123429, 150268, 362880, 1032473, 1042278, 1047907, 1050053, 1055545, 1057622, 1060033, 1098645, 1101244, 1102674, 1102774, 1103034, 1103723, 1105434, 1106427, 1108692, 1113582, 1113852, 1113886, 1116093, 1116224, 1116226, 1117717, 1117890, 1118057, 1118298, 1119382, 1122221, 1126898, 1127925, 1128077, 1128364, 1132918, 1134235, 1136142, 1137717, 1139692, 1152849, 1161428, 1161716, 1167288, 1167356, 1180773, 1181327, 1184949, 1185556, 1186930, 1188468, 1191018, 1191217, 1191221, 1191224, 1191268, 1203177, 1203424, 1204325, 1204896, 1205761, 1214055, 1214936, 1215466, 1258654, 1258851, 1258875, 1259035, 1260352, 1260461, 1261089, 1266540, 1270538, 1270680, 1272012, 1279023, 1279551, 1283028, 1283779, 1286732, 1288839, 1292727, 1292900, 1300429, 1304525, 1308208, 1310955, 1313407, 1314243, 1318224, 1322118, 1328954, 1330347, 1330352, 1330896, 1342408, 1351760, 1359807, 1364849, 1376000, 1376181, 1379275, 1379289, 1382664, 1382883, 1403526, 1404230, 1404253, 1405629, 1420092, 1427745, 1451148, 1452880, 1458089, 1458091, 1473699, 1473710, 1486128, 1514196, 1524514, 1563272, 5000135, 5000201, 5000578, 5001006
4301;Música (Licenciatura);133, 780, 1444, 1750, 2194, 11779, 12977, 13293, 13604, 15790, 18395, 21158, 21604, 24864, 28042, 30053, 31675, 31979, 33176, 41072, 41135, 45068, 47621, 52963, 55026, 59103, 60845, 60847, 62486, 63890, 65938, 70538, 72419, 81283, 83945, 84398, 85786, 86712, 90977, 91051, 92175, 92200, 92595, 94331, 94595, 94758, 95043, 95462, 96675, 97039, 99425, 100021, 100024, 105438, 105572, 106880, 109343, 112164, 114950, 116218, 118630, 122220, 122594, 122892, 123553, 150097, 150099, 1073438, 1100369, 1105124, 1105328, 1107278, 1110646, 1111226, 1113067, 1114875, 1137487, 1147330, 1153094, 1156287, 1158384, 1160847, 1168164, 1190335, 1192191, 1212035, 1259131, 1260543, 1278855, 1279666, 1349405, 1350288, 1354319, 1363754, 1425255, 1446972, 1468267, 5001292
5401;Ciências Sociais (Bacharelado);318, 407, 498, 630, 11224, 11544, 13223, 13459, 13575, 14513, 18881, 21544, 24668, 24868, 26129, 26911, 29692, 33204, 34983, 36013, 38231, 45008, 63873, 69747, 83914, 87582, 95731, 105580, 113739, 114989, 117492, 300774, 301638, 301894, 302217, 303130, 303167, 303567, 307827, 310859, 311322, 311450, 311992, 312558, 312686, 312838, 312949, 313087, 313436, 313982, 314221, 314348, 318380, 320574, 321624, 357162, 385458, 401241, 401274, 416834, 416922, 417114, 1079286, 1103742, 1108032, 1112946, 1113220, 1166897, 1191238, 1265863, 1284614, 1295548, 1316022, 1322709
5402;Ciências Sociais (Licenciatura);774, 1224, 1638, 1894, 2217, 3130, 3167, 3567, 3670, 8057, 10859, 11322, 11450, 11992, 12082, 12315, 12558, 12686, 12838, 12949, 13087, 13304, 13436, 13982, 14221, 14348, 18380, 20574, 20763, 21624, 21847, 44418, 45009, 47358, 47364, 79944, 85458, 87583, 100744, 101241, 101274, 101772, 103340, 107487, 110742, 112656, 113050, 113743, 114002, 116834, 116922, 117114, 121702, 121796, 123588, 123729, 150311, 417492, 1103701, 1105815, 1106595, 1108041, 1110230, 1112200, 1146486, 1152593, 1166899, 1167962, 1174683, 1185330, 1185666, 1191222, 1214129, 1214163, 1257430, 1258527, 1262435, 1264887, 1268044, 1268562, 1272864, 1278733, 1286560, 1292695, 1298974, 1300004, 1300456, 1332837, 1343342, 1378875, 1382663, 1385373, 1388352, 1457112, 5000407, 5000408, 5000556
6407;Letras-Inglês (Licenciatura);15415, 16592, 16678, 18565, 20941, 22173, 22380, 22514, 22519, 22597, 22658, 22678, 22947, 23777, 24498, 25784, 25864, 25926, 27554, 27733, 28132, 28323, 28989, 29475, 29680, 29693, 29730, 30397, 30537, 30580, 31150, 31190, 31221, 31266, 31506, 32142, 32877, 33596, 34009, 34277, 34669, 35074, 38161, 39212, 40717, 43781, 44977, 45304, 45753, 45988, 46846, 48738, 49848, 51230, 51477, 51941, 56026, 56030, 59115, 66274, 69626, 69638, 74927, 80886, 82810, 83005, 83039, 83052, 83156, 83210, 83280, 84985, 86446, 95400, 95652, 99014, 101054, 103358, 103393, 106096, 107549, 110996, 111795, 112332, 112350, 113172, 113880, 113974, 114346, 114847, 114875, 114877, 115846, 116576, 119048, 119074, 122114, 1100602, 1113579, 1128911, 1150592, 1151252, 1156745, 1158907, 1162185, 1183559, 1185844, 1186923, 1203135, 1261910, 1270672, 1281070, 1321268, 1330539, 1341352, 1363693, 1363800, 1385360, 1404232, 1404324, 1421414, 1422076, 1427730, 1457676, 1496243, 1518042, 5001385
6409;Tecnologia em Gestão da Tecnologia da Informação;2388, 16939, 56270, 63598, 65687, 67380, 68773, 70259, 72065, 72259, 75012, 75288, 75921, 76851, 76937, 77098, 77134, 79640, 94387, 97145, 97253, 97346, 99230, 101428, 101757, 102626, 105390, 106248, 107962, 107964, 108786, 110038, 110172, 110442, 114195, 115197, 115902, 118368, 119592, 119964, 122866, 123803, 1059802, 1101105, 1103821, 1105676, 1105981, 1106607, 1107664, 1111849, 1112324, 1116731, 1119481, 1122726, 1127932, 1131979, 1132278, 1134421, 1135068, 1135069, 1135070, 1135071, 1135072, 1139020, 1149718, 1150286, 1150397, 1151691, 1153353, 1153434, 1156898, 1157851, 1161236, 1166894, 1170124, 1170140, 1170480, 1177853, 1180789, 1180796, 1180799, 1184070, 1184727, 1203116, 1203333, 1204396, 1204641, 1205130, 1205714, 1210192, 1214121, 1257511, 1257521, 1258298, 1258310, 1258541, 1258963, 1259168, 1260026, 1261584, 1263622, 1268566, 1269975, 1271935, 1278856, 1279554, 1284534, 1285818, 1286381, 1288703, 1296032, 1314139, 1314227, 1315314, 1315442, 1321347, 1332356, 1354147, 1365445, 1371335, 1379280, 1382886, 1387437, 1388165, 1388279, 1396153, 1404219, 1419546, 1419765, 1420282, 1420299, 1427323, 1427414, 1429882, 1429948, 1430609, 1431913, 1442581, 1452641, 1452878, 1453376, 1454404, 1454405, 1454852, 1457491, 1457691, 1465703, 1474142, 1485386, 1487062, 1496476, 1513683, 1517024, 1519064, 1521385, 1525774, 5000015, 5000454, 5001434
